,75pts,100pts,200pts,400pts,500pts,600pts,750pts
cluster1 / n,0.28,0.14,0.33,0.333,0.146,0.328,0.307
optimo / #cruce1,0.733,0.878,0.874,0.902,0.941,0.887,0.808
cluster2 / n,0.16,0.32,0.33,0.325,0.324,0.228,0.225
optimo / #cruce2,0.845,0.925,0.903,0.878,0.915,0.696,0.668
cluster3 / n,0.24,0.23,0.11,0.12,0.3,0.11,0.323
optimo / #cruce3,0.653,0.634,0.706,0.873,0.806,0.872,0.891
cluster4 / n,0.32,0.31,0.23,0.223,0.23,0.333,0.145
optimo / #cruce4,0.912,0.818,0.701,0.679,0.685,0.885,0.938
